sub,trial,gamble,choice,choice_fct,rt,gain_loss,A_p1,A_o1,A_p2,A_o2,B_p1,B_o1,B_p2,B_o2,A_risky,B_risky
3,51,32,1,A,1.519,loss,0.48,-15,0.52,-91,0.28,-48,0.72,-74,risky,risky
3,14,33,1,A,5.002,loss,0.53,-93,0.47,-26,0.8,-52,0.2,-93,risky,risky
3,33,34,1,A,3.79,loss,0.49,-1,0.51,-54,0.77,-33,0.23,-30,risky,risky
3,85,35,1,A,2.379,loss,0.99,-24,0.01,-13,0.44,-15,0.56,-62,risky,risky
3,36,36,2,B,1.817,loss,0.79,-67,0.21,-37,0.46,0,0.54,-97,risky,risky
3,44,37,1,A,4.37,loss,0.56,-58,0.44,-80,0.86,-58,0.14,-97,risky,risky
3,42,38,2,B,3.266,loss,0.63,-96,0.37,-38,0.17,-12,0.83,-69,risky,risky
3,74,39,2,B,2.01,loss,0.59,-55,0.41,-77,0.47,-30,0.53,-61,risky,risky
3,57,40,2,B,2.437,loss,0.13,-29,0.87,-76,0.55,-100,0.45,-28,risky,risky
3,39,41,2,B,3.12,loss,0.84,-57,0.16,-90,0.25,-63,0.75,-30,risky,risky
3,31,42,2,B,7.032,loss,0.86,-29,0.14,-30,0.26,-17,0.74,-43,risky,risky
3,49,43,1,A,1.93,loss,0.66,-8,0.34,-95,0.93,-42,0.07,-30,risky,risky
3,48,44,2,B,1.992,loss,0.39,-35,0.61,-72,0.76,-57,0.24,-28,risky,risky
3,4,45,1,A,5.264,loss,0.51,-26,0.49,-76,0.77,-48,0.23,-34,risky,risky
3,65,46,2,B,2.568,loss,0.73,-73,0.27,-54,0.17,-42,0.83,-70,risky,risky
3,26,47,2,B,2.401,loss,0.49,-66,0.51,-92,0.78,-97,0.22,-34,risky,risky
3,38,48,1,A,2.4,loss,0.56,-9,0.44,-56,0.64,-15,0.36,-80,risky,risky
3,59,49,2,B,2.683,loss,0.96,-61,0.04,-56,0.34,-7,0.66,-63,risky,risky
3,71,50,1,A,3.701,loss,0.56,-4,0.44,-80,0.04,-46,0.96,-58,risky,risky
3,75,51,1,A,2.207,mixed,0.43,-91,0.57,63,0.27,-83,0.73,24,risky,risky
3,53,52,1,A,1.699,mixed,0.06,-82,0.94,54,0.09,-73,0.91,38,risky,risky
3,46,53,1,A,4.223,mixed,0.79,-70,0.21,98,0.65,-85,0.35,93,risky,risky
3,23,54,1,A,2.788,mixed,0.79,-70,0.21,98,0.65,-85,0.35,93,risky,risky
3,89,55,1,A,1.213,mixed,0.61,96,0.39,-67,0.5,71,0.5,-26,risky,risky
3,76,56,1,A,2.157,mixed,0.43,-47,0.57,63,0.02,-69,0.98,14,risky,risky
3,67,57,1,A,2.049,mixed,0.61,19,0.39,-70,0.3,8,0.7,-37,risky,risky
3,64,58,1,A,3.13,mixed,0.59,-100,0.41,81,0.47,-73,0.53,15,risky,risky
3,29,59,1,A,2.628,mixed,0.92,-73,0.08,96,0.89,-48,0.11,16,risky,risky
3,32,60,1,A,3.098,mixed,0.11,27,0.89,-31,0.36,26,0.64,-48,risky,risky
3,19,61,1,A,2.053,mixed,0.14,83,0.86,-39,0.8,8,0.2,-88,risky,risky
3,78,62,1,A,1.77,mixed,0.74,77,0.26,-23,0.67,75,0.33,-7,risky,risky
3,47,63,1,A,1.648,mixed,0.91,-33,0.09,28,0.73,-67,0.27,9,risky,risky
3,41,64,2,B,1.446,mixed,0.93,75,0.07,-90,0.87,96,0.13,-89,risky,risky
3,60,65,2,B,1.386,mixed,0.99,67,0.01,-3,0.68,74,0.32,-2,risky,risky
3,3,66,2,B,6.037,mixed,0.48,58,0.52,-5,0.6,96,0.4,-40,risky,risky
3,2,67,2,B,2.465,mixed,0.07,-55,0.93,95,0.48,-13,0.52,99,risky,risky
3,18,68,2,B,3.488,mixed,0.97,-51,0.03,30,0.68,-89,0.32,46,risky,risky
3,5,69,1,A,2.97,mixed,0.86,-26,0.14,82,0.6,-39,0.4,31,risky,risky
3,30,70,1,A,2.164,mixed,0.88,-90,0.12,88,0.8,-86,0.2,14,risky,risky
3,62,71,2,B,2.456,mixed,0.87,-78,0.13,45,0.88,-69,0.12,83,risky,risky
3,54,72,2,B,2.201,mixed,0.96,17,0.04,-48,0.49,-60,0.51,84,risky,risky
3,90,73,1,A,1.86,mixed,0.38,-49,0.62,2,0.22,19,0.78,-18,risky,risky
3,45,74,1,A,2.983,mixed,0.28,-59,0.72,72,0.04,-4,0.96,63,risky,risky
3,13,75,1,A,1.789,mixed,0.5,98,0.5,-24,0.14,-76,0.86,46,risky,risky
3,70,76,2,B,2.781,mixed,0.5,0,0.5,0,0.5,-20,0.5,60,risky,risky
3,37,77,1,A,3.857,mixed,0.5,-30,0.5,60,0.5,0,0.5,0,risky,risky
3,56,78,2,B,2.198,mixed,0.5,0,0.5,0,0.5,-40,0.5,60,risky,risky
3,77,79,1,A,2.124,mixed,0.5,-50,0.5,60,0.5,0,0.5,0,risky,risky
3,20,80,2,B,7.759,mixed,0.5,0,0.5,0,0.5,-60,0.5,60,risky,risky
3,91,81,1,A,1.983,mixed,0.5,-70,0.5,60,0.5,0,0.5,0,risky,risky
3,35,82,1,A,1.253,gain,0.1,77,0.9,2,0.1,40,0.9,32,risky,risky
3,34,83,2,B,5.035,gain,0.2,40,0.8,32,0.2,77,0.8,2,risky,risky
3,10,84,1,A,2.001,gain,0.3,77,0.7,2,0.3,40,0.7,32,risky,risky
3,27,85,2,B,1.433,gain,0.4,40,0.6,32,0.4,77,0.6,2,risky,risky
3,79,86,1,A,2.055,gain,0.5,77,0.5,2,0.5,40,0.5,32,risky,risky
3,73,87,2,B,1.558,gain,0.6,40,0.4,32,0.6,77,0.4,2,risky,risky
3,24,88,2,B,5.88,gain,0.7,40,0.3,32,0.7,77,0.3,2,risky,risky
3,87,89,1,A,1.866,gain,0.8,77,0.2,2,0.8,40,0.2,32,risky,risky
3,9,90,1,A,1.682,gain,0.9,77,0.1,2,0.9,40,0.1,32,risky,risky
4,83,1,1,A,3.822,gain,0.34,24,0.66,59,0.42,47,0.58,64,risky,risky
4,70,2,2,B,6.54,gain,0.88,79,0.12,82,0.2,57,0.8,94,risky,risky
4,33,3,1,A,5.443,gain,0.74,62,0.26,0,0.44,23,0.56,31,risky,risky
4,24,4,2,B,5.472,gain,0.05,56,0.95,72,0.95,68,0.05,95,risky,risky
4,79,5,1,A,2.224,gain,0.25,84,0.75,43,0.42,7,0.57,97,risky,risky
4,59,6,2,B,5.42,gain,0.28,7,0.72,74,0.71,55,0.29,63,risky,risky
4,15,7,2,B,8.689,gain,0.09,56,0.91,19,0.76,13,0.24,90,risky,risky
