sub,trial,uncertain_word,valence,arousal,rt
54,4,definite,134,117,4.005
54,5,ambiguous,1,-42,4.269
54,6,erratic,-83,219,5.042
54,7,confident,220,158,6.624
54,8,risky,-151,222,7.714
54,9,questionable,-45,-79,3.888
54,10,inevitable,2,177,6.752
54,11,predictable,-1,125,5.329
54,12,vague,2,23,3.883
54,13,unexpected,-48,176,6.898
54,14,frequent,56,114,7.064
54,15,doubtful,-141,-15,5.673
54,16,uncertain,-22,-1,6.218
54,17,possible,28,1,3.136
54,18,likely,-102,0,4.806
55,1,ambiguous,-144,-168,22.1
55,2,uncertain,-71,-156,10.308
55,3,predictable,106,-54,16.989
55,4,confident,135,36,11.036
55,5,risky,-19,192,11.506
55,6,doubtful,-125,-195,10.223
55,7,unknown,-160,-187,7.724
55,8,certain,-18,96,5.721
55,9,frequent,-22,65,4.706
55,10,inevitable,25,150,4.254
55,11,vague,-41,-37,3.863
55,12,questionable,-33,-54,6.437
55,13,possible,54,-33,7.518
55,14,erratic,-33,-163,9.185
55,15,likely,-139,-176,3.723
55,16,improbable,-81,-196,7.407
55,17,definite,54,147,11.61
55,18,unexpected,24,121,10.386
56,1,vague,-69,-126,10.671
56,2,predictable,133,-68,8.344
56,3,erratic,-100,102,5.849
56,4,frequent,-1,151,11.728
56,5,questionable,-122,97,6.646
56,6,unexpected,-62,195,8.596
56,7,improbable,-51,-47,14.072
56,8,certain,186,-32,6.32
56,9,likely,-130,-40,6.16
56,10,unknown,-135,186,6.111
56,11,confident,185,195,4.558
56,12,uncertain,-101,149,7.378
56,13,doubtful,-187,95,6.345
56,14,inevitable,154,-145,6.153
56,15,risky,-183,199,2.417
56,16,ambiguous,-40,-15,5.063
56,17,definite,171,-159,12.606
56,18,possible,144,-134,4.341
57,1,vague,-2,-163,8.887
57,2,certain,234,216,6.092
57,3,risky,-230,207,5.069
57,4,improbable,-124,-233,7.818
57,5,doubtful,-165,170,6.622
57,6,possible,232,67,3.918
57,7,uncertain,-175,188,5.084
57,8,definite,242,242,3.305
57,9,confident,233,197,9.86
57,10,questionable,-86,113,7.52
57,11,erratic,-227,237,5.758
57,12,ambiguous,-47,-87,5.1
57,13,frequent,202,27,11.582
57,14,predictable,137,-156,7.832
57,15,unknown,-59,182,8.413
57,16,inevitable,21,-129,11.119
57,17,likely,-146,-44,7.282
57,18,unexpected,-52,238,75.532
59,1,unknown,5,-74,11.985
59,2,possible,5,30,8.286
59,3,predictable,0,-3,8.252
59,4,erratic,-175,-19,12.195
59,5,confident,212,227,6.037
